순위,시간,2013년,2014년,2015년,2016년,total
1,1시,3.2,3,3.1,4.8,4
2,2시,1.9,1.9,2.1,2.8,2.4
3,3시,1.8,1.5,1.4,1.5,1.5
4,4시,0.8,1.3,1.1,0.9,1
5,5시,0.8,1.1,1.1,0.6,0.8
6,6시,1.1,1.3,1.5,0.9,1.1
7,7시,2,2.2,2.1,1.8,1.9
8,8시,3.1,3.6,3.4,2.5,2.9
9,9시,4.7,4.7,4.8,2.7,3.6
10,10시,5.3,5.7,5.4,3.2,4.2
11,11시,6.1,6.1,5.5,3.5,4.7
12,12시,4.6,4.7,4.4,3.6,4.1
13,13시,4.6,5.2,5,4,4.4
14,14시,5.5,6,5.9,4,4.9
15,15시,5.1,6,5.8,4.2,4.9
16,16시,5.5,5.6,6.1,4.4,5
17,17시,5.9,5.6,6.3,5.8,5.9
18,18시,5.2,4.8,5,5.9,5.5
19,19시,4.3,4.2,4.5,6.4,5.4
20,20시,4.8,4.5,4.7,6.5,5.6
21,21시,6,5.3,5.4,6.5,6.1
22,22시,6.3,5.6,5.5,7.7,6.8
23,23시,6.3,5.6,5.4,8.6,7.3
24,24시,5.2,4.5,4.9,7,6
